Potential,Flux
18.459,-1.519947057104787e-05
18.439,-8.370980797423044e-06
18.419,-6.509332850512806e-06
18.399,-5.6117201996386265e-06
18.379,-5.076884024290962e-06
18.358999999999998,-4.722399582490767e-06
18.339,-4.47251569113405e-06
18.319,-4.2897454477497385e-06
18.299,-4.152581389860189e-06
18.279,-4.048585466875921e-06
18.259,-3.969206519016666e-06
18.239,-3.909002899149527e-06
18.219,-3.864087716465292e-06
18.198999999999998,-3.831610584370537e-06
18.179,-3.8090666176771046e-06
18.159,-3.7953329368178856e-06
18.139,-3.788682034766567e-06
18.119,-3.7885956594152503e-06
18.099,-3.7940373065481485e-06
18.079,-3.804488724057365e-06
18.059,-3.819431659835004e-06
18.038999999999998,-3.838175111070541e-06
18.019,-3.860546327061343e-06
17.999,-3.886372557104778e-06
17.979,-3.915221924444268e-06
17.959,-3.94692167837718e-06
17.939,-3.981212692849567e-06
17.919,-4.018267718564062e-06
17.899,-4.057827629466716e-06
17.879,-4.099546924152264e-06
17.858999999999998,-4.143511977972025e-06
17.839,-4.189377289520736e-06
17.819,-4.237574735554972e-06
17.799,-4.287758814669474e-06
17.779,-4.339756776161608e-06
17.759,-4.393914121436637e-06
17.739,-4.449798973737985e-06
17.719,-4.507584083768279e-06
17.698999999999998,-4.567183076176207e-06
17.679,-4.628423200259136e-06
17.659,-4.691563582071012e-06
17.639,-4.756431470909207e-06
17.619,-4.823026866773716e-06
17.599,-4.891522520367175e-06
17.579,-4.961659305635636e-06
17.559,-5.033609973281728e-06
17.538999999999998,-5.1072881479541365e-06
17.519,-5.182780205004179e-06
17.499,-5.2599997690805375e-06
17.479,-5.338774089480581e-06
17.459,-5.41970779366352e-06
17.439,-5.502282629521461e-06
17.419,-5.586498597054401e-06
17.399,-5.672701197667607e-06
17.378999999999998,-5.760717680658445e-06
17.358999999999998,-5.850548046026916e-06
17.339,-5.9421922937730196e-06
17.319,-6.035995925302019e-06
17.299,-6.1316134392086505e-06
17.279,-6.228958460141598e-06
17.259,-6.328376489506128e-06
17.239,-6.429694776599605e-06
17.219,-6.533086072124662e-06
17.198999999999998,-6.638550376081298e-06
17.179,-6.7459149377668845e-06
17.159,-6.855525258586682e-06
17.139,-6.9671222124867435e-06
17.119,-7.080878550169701e-06
17.099,-7.196794271635554e-06
17.079,-7.3151285029382515e-06
17.059,-7.43527661661858e-06
17.039,-7.557843240135753e-06
17.019,-7.682914748841087e-06
16.999,-7.810145641329314e-06
16.979,-7.93970866830307e-06
16.959,-8.071776580464986e-06
16.939,-8.206263002463743e-06
16.919,-8.343081558948029e-06
16.899,-8.482577751323106e-06
16.878999999999998,-8.624319702832395e-06
16.858999999999998,-8.768998416286424e-06
16.839,-8.916095639577293e-06
16.819,-9.065956874110272e-06
16.799,-9.21849574453404e-06
16.779,-9.373712250848598e-06
16.759,-9.531779143756582e-06
16.739,-9.6927827986093e-06
16.719,-9.85672321540676e-06
16.698999999999998,-1.0023427643446327e-05
16.679,-1.0192982458079314e-05
16.659,-1.0365819536062306e-05
16.639,-1.0541766126692664e-05
16.619,-1.072073585461908e-05
16.599,-1.0902987845895497e-05
16.579,-1.1088262974467968e-05
16.559,-1.1276906741741756e-05
16.539,-1.146891914771686e-05
16.519,-1.16643865677446e-05
16.499,-1.1863222626473659e-05
16.479,-1.206551369925535e-05
16.459,-1.2271605287494937e-05
16.439,-1.2481065514435842e-05
16.419,-1.2694326256834643e-05
16.399,-1.2911301139340026e-05
16.378999999999998,-1.3131903786600674e-05
16.358999999999998,-1.3356652450724482e-05
16.339,-1.3585374381008819e-05
16.319,-1.3817896826751054e-05
16.299,-1.4054565289356448e-05
16.279,-1.4295379768825002e-05
16.259,-1.45402538898054e-05
16.239,-1.4789533153702905e-05
16.219,-1.504321756051752e-05
16.198999999999998,-1.530139348560056e-05
16.179,-1.556380180289807e-05
16.159,-1.5830960764517957e-05
16.139,-1.6102524869054946e-05
16.119,-1.6378925993265625e-05
16.099,-1.666016413714999e-05
16.079,-1.6946412051410675e-05
16.059,-1.7237583360696362e-05
16.039,-1.7533505314304424e-05
16.019,-1.783478253969406e-05
15.998999999999999,-1.8141242286162654e-05
15.979,-1.8453057304412823e-05
15.959,-1.8770227594444577e-05
15.939,-1.9092925906960545e-05
15.919,-1.942106586660941e-05
15.899,-1.975482022409381e-05
15.879,-2.0094448105467677e-05
15.859,-2.0439776760028394e-05
15.838999999999999,-2.0791065313829907e-05
15.818999999999999,-2.1148572892926154e-05
15.799,-2.1512040371263197e-05
15.779,-2.1882072376300247e-05
15.759,-2.22581506559294e-05
15.738999999999999,-2.264079346225856e-05
15.719,-2.3029828044585088e-05
15.699,-2.342568627966557e-05
15.678999999999998,-2.3828368167500006e-05
15.658999999999999,-2.423787370808839e-05
15.639,-2.465446202748467e-05
15.619,-2.507821950104017e-05
15.599,-2.5509318879457513e-05
15.579,-2.594741466133144e-05
15.559,-2.6393111474121156e-05
15.539,-2.6846754819231936e-05
15.519,-2.730765369385324e-05
15.498999999999999,-2.777675822684955e-05
15.479,-2.825380929216692e-05
15.459,-2.873897964050798e-05
15.439,-2.9232096521170096e-05
15.419,-2.9733850936963794e-05
15.399,-3.0244242887889076e-05
15.379,-3.076327237394594e-05
15.359,-3.12910257704857e-05
15.338999999999999,-3.1827762203562315e-05
15.318999999999999,-3.237374079922972e-05
15.299,-3.292887518213661e-05
15.279,-3.3493424478336926e-05
15.259,-3.406756143853329e-05
15.238999999999999,-3.465128606272572e-05
15.219,-3.524503022767078e-05
15.199,-3.584870755801717e-05
15.178999999999998,-3.6462922681224086e-05
15.158999999999999,-3.708733009588627e-05
15.139,-3.7722188928057676e-05
15.119,-3.836784467914356e-05
15.099,-3.9024210973792606e-05
15.079,-3.969197881481535e-05
15.059,-4.037062995010388e-05
15.039,-4.106102813317137e-05
15.019,-4.176308698866649e-05
14.998999999999999,-4.247680651658925e-05
14.979,-4.3202532218344913e-05
14.959,-4.39403504692848e-05
14.939,-4.4690952272219426e-05
14.919,-4.5453819375040894e-05
14.899,-4.622964278055974e-05
14.879,-4.701842248877597e-05
14.859,-4.782033125039221e-05
14.838999999999999,-4.8635800942165026e-05
14.818999999999999,-4.946465881339179e-05
