Potential,Flux
20.0,-9.237055564881302e-08
19.98,-4.796163466380676e-08
19.96,-3.730349362740526e-08
19.94,-3.219646771412954e-08
19.92,-2.9531932455029164e-08
19.9,-2.7755575615628914e-08
19.88,-2.6201263381153694e-08
19.86,-2.531308496145357e-08
19.84,-2.4646951146678475e-08
19.82,-2.375877272697835e-08
19.8,-2.375877272697835e-08
19.78,-2.353672812205332e-08
19.76,-2.3314683517128287e-08
19.74,-2.3092638912203256e-08
19.72,-2.3092638912203256e-08
19.7,-2.2870594307278225e-08
19.68,-2.3092638912203256e-08
19.66,-2.3314683517128287e-08
19.64,-2.353672812205332e-08
19.62,-2.3314683517128287e-08
19.6,-2.375877272697835e-08
19.58,-2.398081733190338e-08
19.56,-2.398081733190338e-08
19.54,-2.4424906541753444e-08
19.52,-2.4424906541753444e-08
19.5,-2.5091040356528538e-08
19.48,-2.55351295663786e-08
19.46,-2.531308496145357e-08
19.44,-2.5979218776228663e-08
19.42,-2.6201263381153694e-08
19.4,-2.6423307986078726e-08
19.38,-2.708944180085382e-08
19.36,-2.7533531010703882e-08
19.34,-2.7977620220553945e-08
19.32,-2.8199664825478976e-08
19.3,-2.864375403532904e-08
19.28,-2.9309887850104133e-08
19.26,-2.9531932455029164e-08
19.24,-2.9976021664879227e-08
19.22,-3.064215547965432e-08
19.2,-3.108624468950438e-08
19.18,-3.1530333899354446e-08
19.16,-3.219646771412954e-08
19.14,-3.2862601528904634e-08
19.12,-3.3084646133829665e-08
19.1,-3.397282455352979e-08
19.08,-3.441691376337985e-08
19.06,-3.4861002973229915e-08
19.04,-3.552713678800501e-08
19.02,-3.61932706027801e-08
19.0,-3.730349362740526e-08
18.98,-3.774758283725532e-08
18.96,-3.863576125695545e-08
18.94,-3.885780586188048e-08
18.92,-3.952393967665557e-08
18.9,-4.063416270128073e-08
18.88,-4.1522341120980855e-08
18.86,-4.196643033083092e-08
18.84,-4.263256414560601e-08
18.82,-4.374278717023117e-08
18.8,-4.4853010194856324e-08
18.78,-4.574118861455645e-08
18.76,-4.596323321948148e-08
18.74,-4.707345624410664e-08
18.72,-4.8183679268731794e-08
18.7,-4.907185768843192e-08
18.68,-4.973799150320701e-08
18.66,-5.084821452783217e-08
18.64,-5.1736392947532295e-08
18.62,-5.262457136723242e-08
18.6,-5.3734794391857577e-08
18.58,-5.484501741648273e-08
18.56,-5.573319583618286e-08
18.54,-5.7065463465733046e-08
18.52,-5.81756864903582e-08
18.5,-5.906386491005833e-08
18.48,-6.061817714453355e-08
18.46,-6.128431095930864e-08
18.44,-6.283862319378386e-08
18.42,-6.394884621840902e-08
18.4,-6.505906924303417e-08
18.38,-6.639133687258436e-08
18.36,-6.772360450213455e-08
18.34,-6.927791673660977e-08
18.32,-7.105427357601002e-08
18.3,-7.172040739078511e-08
18.28,-7.37188088351104e-08
18.26,-7.482903185973555e-08
18.24,-7.638334409421077e-08
18.22,-7.771561172376096e-08
18.2,-7.926992395823618e-08
18.18,-8.126832540256146e-08
18.16,-8.282263763703668e-08
18.14,-8.393286066166183e-08
18.12,-8.593126210598712e-08
18.1,-8.748557434046234e-08
18.08,-8.970602038971265e-08
18.06,-9.126033262418787e-08
18.04,-9.281464485866309e-08
18.02,-9.481304630298837e-08
18.0,-9.658940314238862e-08
17.98,-9.85878045867139e-08
17.96,-1.0058620603103918e-07
17.94,-1.0258460747536446e-07
17.92,-1.0458300891968975e-07
17.9,-1.0680345496894006e-07
17.88,-1.0880185641326534e-07
17.86,-1.1102230246251565e-07
17.84,-1.1302070390684094e-07
17.82,-1.1568523916594131e-07
17.8,-1.1790568521519162e-07
17.78,-1.2034817586936697e-07
17.759999999999998,-1.2279066652354231e-07
17.74,-1.2501111257279263e-07
17.72,-1.2745360322696797e-07
17.7,-1.3011813848606835e-07
17.68,-1.3278267374516872e-07
17.66,-1.3566925360919413e-07
17.64,-1.3811174426336947e-07
17.62,-1.4099832412739488e-07
17.6,-1.4366285938649526e-07
17.58,-1.4654943925052066e-07
17.56,-1.4943601911454607e-07
17.54,-1.5276668818842154e-07
17.52,-1.5587531265737198e-07
17.5,-1.5853984791647235e-07
17.48,-1.616484723854228e-07
17.46,-1.652011860642233e-07
17.44,-1.6853185513809876e-07
17.42,-1.716404796070492e-07
17.4,-1.7497114868092467e-07
17.38,-1.787459069646502e-07
17.36,-1.8252066524837574e-07
