Potential,Flux
20.0,-3.7211034253914477e-07
19.98,-2.383795383309462e-07
19.96,-1.9014301244624224e-07
19.94,-1.6514878353746099e-07
19.92,-1.498485779904968e-07
19.9,-1.396873727799175e-07
19.88,-1.3256284958629294e-07
19.86,-1.2707346286333632e-07
19.84,-1.2298562168666652e-07
19.82,-1.2006573513190236e-07
19.8,-1.1749623496370988e-07
19.78,-1.1586109849304195e-07
19.76,-1.1445955294675515e-07
19.74,-1.1340839378704005e-07
19.72,-1.1282441647608722e-07
19.7,-1.1224043916513439e-07
19.68,-1.1212364370294382e-07
19.66,-1.1212364370294382e-07
19.64,-1.1224043916513439e-07
19.62,-1.1259082555170609e-07
19.6,-1.1294121193827777e-07
19.58,-1.1352518924923062e-07
19.56,-1.1410916656018345e-07
19.54,-1.1469314387113628e-07
19.52,-1.157443030308514e-07
19.5,-1.1667866672837591e-07
19.48,-1.1761303042590045e-07
19.46,-1.1878098504780611e-07
19.44,-1.1983214420752122e-07
19.42,-1.2111689429161743e-07
19.4,-1.222848489135231e-07
19.38,-1.236863944598099e-07
19.36,-1.2520473546828728e-07
19.34,-1.2648948555238348e-07
19.32,-1.2789103109867028e-07
19.3,-1.2940937210714765e-07
19.28,-1.3116130404000614e-07
19.26,-1.3279644051067407e-07
19.24,-1.3454837244353257e-07
19.22,-1.365338953007722e-07
19.2,-1.382858272336307e-07
19.18,-1.400377591664892e-07
19.16,-1.4214007748591942e-07
19.14,-1.4412560034315905e-07
19.12,-1.4611112320039868e-07
19.1,-1.4844703244421e-07
19.08,-1.5054935076364018e-07
19.06,-1.526516690830704e-07
19.04,-1.5510437378907227e-07
19.02,-1.574402830328836e-07
19.0,-1.5942580589012323e-07
18.98,-1.619953060583157e-07
18.96,-1.6456480622650815e-07
18.94,-1.6690071547031948e-07
18.92,-1.693534201763214e-07
18.9,-1.72156511268895e-07
18.88,-1.7495960236146857e-07
18.86,-1.7752910252966103e-07
18.84,-1.8021539816004409e-07
18.82,-1.8301848925261768e-07
18.8,-1.8593837580738184e-07
18.78,-1.8909185328652714e-07
18.76,-1.920117398412913e-07
18.74,-1.951652173204366e-07
18.72,-1.9808510387520073e-07
18.7,-2.0135537681653662e-07
18.68,-2.0462564975787248e-07
18.66,-2.0789592269920834e-07
18.64,-2.111661956405442e-07
18.62,-2.1478685496845176e-07
18.6,-2.1829071883416876e-07
18.58,-2.2167778723769518e-07
18.56,-2.2553203748998388e-07
18.54,-2.291526968178914e-07
18.52,-2.3300694707018013e-07
18.5,-2.3662760639808772e-07
18.48,-2.404818566503764e-07
18.46,-2.445696978270462e-07
18.44,-2.4854074354152544e-07
18.42,-2.5262858471819527e-07
18.4,-2.5683322135705566e-07
18.38,-2.610378579959161e-07
18.36,-2.6524249463477645e-07
18.34,-2.699143131223991e-07
18.32,-2.7411894976125955e-07
18.3,-2.786739727866916e-07
18.28,-2.832289958121237e-07
18.26,-2.879008142997464e-07
18.24,-2.9292301917394075e-07
