Potential,Flux
20.0,-2.7400304247748863e-07
19.98,-1.5076828674409626e-07
19.96,-1.1790568521519162e-07
19.94,-1.0147438445073931e-07
19.92,-9.237055564881302e-08
19.9,-8.615330671091215e-08
19.88,-8.215650382226158e-08
19.86,-7.904787935331115e-08
19.84,-7.72715225139109e-08
19.82,-7.571721027943568e-08
19.8,-7.394085344003543e-08
19.78,-7.37188088351104e-08
19.76,-7.30526750203353e-08
19.74,-7.216449660063518e-08
19.72,-7.23865412055602e-08
19.7,-7.23865412055602e-08
19.68,-7.260858581048524e-08
19.66,-7.30526750203353e-08
19.64,-7.30526750203353e-08
19.62,-7.349676423018536e-08
19.6,-7.438494264988549e-08
19.58,-7.460698725481052e-08
19.56,-7.527312106958561e-08
19.54,-7.593925488436071e-08
19.52,-7.682743330406083e-08
19.5,-7.771561172376096e-08
19.48,-7.904787935331115e-08
19.46,-7.949196856316121e-08
19.44,-8.104628079763643e-08
19.42,-8.237854842718662e-08
19.4,-8.304468224196171e-08
19.38,-8.43769498715119e-08
19.36,-8.548717289613705e-08
19.34,-8.659739592076221e-08
19.32,-8.815170815523743e-08
19.3,-8.903988657493755e-08
19.28,-9.059419880941277e-08
19.26,-9.214851104388799e-08
19.24,-9.348077867343818e-08
19.22,-9.50350909079134e-08
19.2,-9.658940314238862e-08
19.18,-9.836575998178887e-08
19.16,-9.992007221626409e-08
19.14,-1.021405182655144e-07
19.12,-1.0391687510491465e-07
19.1,-1.0524914273446484e-07
19.08,-1.0702549957386509e-07
19.06,-1.0902390101819037e-07
19.04,-1.1080025785759062e-07
19.02,-1.127986593019159e-07
19.0,-1.1501910535116622e-07
18.98,-1.1723955140041653e-07
18.96,-1.1945999744966684e-07
18.94,-1.212363542890671e-07
18.92,-1.2390088954816747e-07
18.9,-1.2589929099249275e-07
18.88,-1.283417816466681e-07
18.86,-1.3034018309099338e-07
18.84,-1.3300471835009375e-07
18.82,-1.3522516439934407e-07
18.8,-1.383337888682945e-07
18.78,-1.4077627952246985e-07
18.76,-1.4344081478157023e-07
18.74,-1.461053500406706e-07
18.72,-1.4876988529977098e-07
18.7,-1.5143442055887135e-07
18.68,-1.5476508963274682e-07
18.66,-1.5698553568199713e-07
18.64,-1.603162047558726e-07
18.62,-1.6364687382974807e-07
18.6,-1.667554982986985e-07
18.58,-1.7008616737257398e-07
18.56,-1.729727472365994e-07
18.54,-1.765254609153999e-07
18.52,-1.7963408538435033e-07
18.5,-1.829647544582258e-07
18.48,-1.8696155734687636e-07
18.46,-1.9051427102567686e-07
18.44,-1.942890293094024e-07
18.42,-1.9806378759312793e-07
18.4,-2.013944566670034e-07
18.38,-2.0583534876550402e-07
18.36,-2.0961010704922955e-07
18.34,-2.1360690993788012e-07
18.32,-2.178257574314557e-07
18.3,-2.2226664952995634e-07
18.28,-2.2648549702353193e-07
18.26,-2.3092638912203256e-07
18.24,-2.3536728122053319e-07
18.22,-2.398081733190338e-07
18.2,-2.4447111002245947e-07
18.18,-2.4935609133081016e-07
18.16,-2.544631172440859e-07
18.14,-2.595701431573616e-07
18.12,-2.640110352558622e-07
18.1,-2.69562150378988e-07
18.08,-2.751132655021138e-07
18.06,-2.799982468104645e-07
18.04,-2.8554936193359026e-07
18.02,-2.913225216616411e-07
18.0,-2.9665159217984183e-07
17.98,-3.028688411177427e-07
17.96,-3.086420008457935e-07
17.94,-3.1463720517876936e-07
17.92,-3.2107649872159527e-07
17.9,-3.270717030545711e-07
17.88,-3.3373304120232206e-07
17.86,-3.3995029014022293e-07
17.84,-3.4705571749782393e-07
17.82,-3.5349501104064984e-07
17.8,-3.6060043839825084e-07
17.78,-3.681499549657019e-07
17.759999999999998,-3.750333377183779e-07
17.74,-3.821387650759789e-07
17.72,-3.8968828164342995e-07
17.7,-3.979039320256561e-07
17.68,-4.0545344859310717e-07
17.66,-4.1366909897533333e-07
17.64,-4.2166270475263445e-07
17.62,-4.296563105299356e-07
17.6,-4.3853809472693683e-07
17.58,-4.46753745109163e-07
17.56,-4.558575739110893e-07
17.54,-4.6496140271301556e-07
17.52,-4.738431869100168e-07
17.5,-4.831690603168681e-07
17.48,-4.929390229335695e-07
17.46,-5.027089855502709e-07
17.44,-5.127009927718973e-07
17.42,-5.226929999935237e-07
17.4,-5.326850072151501e-07
17.38,-5.435651928564766e-07
17.36,-5.542233338928781e-07
17.34,-5.651035195342047e-07
17.32,-5.764277943853813e-07
17.3,-5.875300246316328e-07
17.28,-5.988542994828094e-07
17.259999999999998,-6.108447081487611e-07
17.24,-6.228351168147128e-07
17.22,-6.352696146905146e-07
17.2,-6.474820679613913e-07
17.18,-6.608047442568932e-07
17.16,-6.7346128673762e-07
17.14,-6.865619184281968e-07
17.12,-7.001066393286237e-07
17.1,-7.140954494389007e-07
17.08,-7.278622149442526e-07
17.06,-7.422951142643797e-07
17.04,-7.571721027943568e-07
17.02,-7.718270467194088e-07
17.0,-7.86926079854311e-07
16.98,-8.022471575941381e-07
16.96,-8.186784583585904e-07
16.94,-8.344436253082677e-07
16.92,-8.5087492607272e-07
16.9,-8.675282714420973e-07
16.88,-8.848477506262498e-07
16.86,-9.017231406005521e-07
16.84,-9.199307982044047e-07
16.82,-9.381384558082573e-07
16.8,-9.565681580170349e-07
16.78,-9.754419494356625e-07
16.759999999999998,-9.943157408542902e-07
16.74,-1.013855666087693e-06
16.72,-1.0333955913210957e-06
16.7,-1.0540457395791236e-06
16.68,-1.0744738432322265e-06
16.66,-1.0955680807001045e-06
16.64,-1.1168843627729075e-06
16.62,-1.1388667786604856e-06
16.6,-1.1615153283628388e-06
